date,price
20060105,1233.75
20060106,1155
20060107,1155
20060110,1260
20060111,1260
20060112,1260
20060113,1155
20060114,1260
20060116,1155
20060117,1155
20060119,1050
20060120,1050
20060121,1050
20060123,1155
20060124,1155
20060126,1155
20060127,1155
20060128,1155
20060130,1155
20060131,1155
20060201,1417.5
20060202,1260
20060203,1365
20060204,1365
20060206,1470
20060207,1575
20060208,1575
20060209,1575
20060210,1470
20060213,1260
20060214,1365
20060216,1260
20060217,1260
20060218,1050
20060220,1155
20060221,1155
20060223,1365
20060224,1365
20060225,1260
20060227,1260
20060228,1365
20060301,1365
20060302,1365
20060303,1365
20060304,1365
20060306,1470
20060307,1155
20060309,1155
20060310,1050
20060311,1050
20060313,997.5
20060314,1050
20060316,1050
20060317,1050
20060318,1050
20060320,1050
20060322,1102.5
20060323,1050
20060324,1050
20060325,1155
20060327,1050
20060328,1050
20060329,1050
20060330,945
20060331,1050
20060401,1102.5
20060403,1050
20060404,1050
20060405,1050
20060406,1102.5
20060407,1102.5
20060408,1260
20060410,1102.5
20060411,1050
20060413,1102.5
20060414,1050
20060415,892.5
20060417,840
20060418,945
20060420,840
20060421,840
20060422,840
20060424,840
20060425,840
20060426,840
20060427,945
20060428,1050
20060501,1155
20060502,1050
20060505,1155
20060506,997.5
20060508,945
20060509,997.5
20060511,892.5
20060512,840
20060513,945
20060515,682.5
20060516,840
20060517,630
20060518,630
20060519,735
20060520,813.75
20060522,892.5
20060523,945
20060525,997.5
20060526,1050
20060527,1155
20060529,1260
20060530,1050
20060531,945
20060601,1283.75
20060602,735
20060603,945
20060605,892.5
20060606,840
20060607,892.5
20060608,971.25
20060609,918.75
20060610,918.75
20060612,840
20060613,892.5
20060615,892.5
20060616,892.5
20060617,840
20060619,787.5
20060620,787.5
20060621,945
20060622,1155
20060623,630
20060624,630
20060626,840
20060627,630
20060629,682.5
20060630,735
20060701,735
20060703,1050
20060704,1050
20060706,1312.5
20060707,945
20060708,971.5
20060710,1155
20060711,1155
20060712,1155
20060713,1155
20060714,1207.5
20060715,945
20060718,1102.5
20060719,1155
20060720,1050
20060721,1260
20060722,1050
20060724,1155
20060725,1155
20060727,1365
20060728,1365
20060729,1522.5
20060731,1575
20060801,1680
20060802,1680
20060803,1470
20060804,1470
20060805,1260
20060807,1732.5
20060808,1155
20060809,1050
20060810,1312.75
20060811,1155
20060812,1365
20060813,1155
20060817,1155
20060818,787.5
20060819,945
20060821,1023.75
20060822,840
20060824,1233.75
20060825,840
20060826,1050
20060828,840
20060829,787.5
20060830,840
20060831,892.5
20060901,945
20060902,997.5
20060904,1050
20060905,1102.5
20060906,1155
20060907,997.5
20060908,892.5
20060909,840
20060911,1102.5
20060912,840
20060914,787.5
20060915,840
20060916,945
20060919,945
20060920,997.5
20060921,945
20060922,892.5
20060925,945
20060926,840
20060928,892.5
20060929,840
20060930,787.5
20061002,840
20061003,787.5
20061004,735
20061005,735
20061006,916.25
20061007,735
20061010,630
20061011,525
20061012,525
20061013,525
20061014,525
20061016,630
20061017,630
20061019,630
20061020,735
20061021,630
20061023,577.5
20061024,630
20061026,630
20061027,577.5
20061028,525
20061030,472.5
20061031,472.5
20061101,420
20061102,420
20061104,525
20061106,420
20061107,840
20061109,840
20061110,840
20061111,840
20061113,690.5
20061114,551.25
20061115,630
20061116,617
20061117,735
20061118,735
20061120,716.75
20061121,525
20061122,420
20061124,630
20061125,472.5
20061127,472.5
20061128,420
20061129,420
20061130,472.5
20061201,546
20061202,472.5
20061204,499
20061205,420
20061206,420
20061207,630
20061208,656.25
20061209,472.5
20061211,420
20061212,420
20061214,420
20061215,420
20061216,420
20061218,682.5
20061219,420
20061220,420
20061221,457
20061222,735
20061224,735
20061225,472.5
20061226,682.5
20061227,735
20061228,630
20061229,840
20070105,840
20070106,735
20070109,1050
20070110,630
20070111,420
20070112,420
20070113,525
20070115,525
20070116,945
20070118,945
20070119,525
20070120,420
20070122,525
20070123,420
20070125,630
20070126,420
20070127,525
20070129,420
20070130,525
20070131,525
20070201,945
20070202,420
20070203,630
20070205,630
20070206,525
20070207,420
20070208,525
20070209,551.5
20070210,735
20070213,735
20070214,630
20070215,577.5
20070216,630
20070217,630
20070219,525
20070220,630
20070222,945
20070223,630
20070224,630
20070226,735
20070227,735
20070301,719.25
20070302,735
20070303,630
20070305,701
20070306,525
20070307,682.5
20070308,420
20070309,708.75
20070310,420
20070312,420
20070313,525
20070315,525
20070316,630
20070317,630
20070319,682.5
20070320,788
20070322,945
20070323,1102.5
20070324,1207.5
20070326,1312.5
20070327,1417.5
20070329,1207.5
20070330,1050
20070331,945
20070402,735
20070403,735
20070404,735
20070405,682.5
20070406,735
20070407,814
20070409,840
20070410,919
20070412,840
20070413,945
20070414,945
20070416,945
20070417,1102.5
20070418,1260
20070419,1207.5
20070420,1155
20070421,1050
20070423,971.5
20070424,1050
20070426,1050
20070427,997.5
20070428,840
20070501,787.5
20070502,787.5
20070504,787.5
20070507,840
20070508,866.25
20070510,945
20070511,840
20070512,945
20070514,787.5
20070515,735
20070516,735
20070517,735
20070518,945
20070519,945
20070521,1050
20070522,1102.5
20070524,945
20070525,945
20070526,945
20070528,997.5
20070529,735
20070530,1128.75
20070531,945
20070601,945
20070602,945
20070604,997.5
20070605,840
20070606,892.5
20070607,840
20070608,551.5
20070609,630
20070611,682.5
20070612,682.5
20070614,735
20070615,525
20070616,630
20070618,735
20070619,735
20070620,735
20070621,656.25
20070622,840
20070623,840
20070625,840
20070626,840
20070628,892.5
20070629,853.25
20070630,787.5
20070702,1050
20070703,840
20070704,892.5
20070705,735
20070706,735
20070707,630
20070709,840
20070710,997.5
20070712,945
20070713,997.5
20070714,840
20070717,1155
20070718,1050
20070719,945
20070720,945
20070721,945
20070723,945
20070724,945
20070726,945
20070727,945
20070728,1050
20070730,1076.25
20070731,813.75
20070801,997.5
20070802,525
20070803,525
20070804,1102.5
20070806,892.5
20070807,892.5
20070808,787.5
20070809,735
20070810,997.5
20070811,945
20070813,630
20070814,735
20070818,1050
20070820,1050
20070821,1155
20070823,1260
20070824,1365
20070825,1365
20070827,1365
20070828,1365
20070829,1260
20070830,1155
20070831,1050
20070901,945
20070903,945
20070904,945
20070905,945
20070906,997.5
20070907,997.5
20070908,997.5
20070910,1102.5
20070911,892.5
20070913,840
20070914,787.5
20070915,1102.5
20070918,787.5
20070919,840
20070920,892.5
20070921,945
20070922,945
20070925,1155
20070926,1050
20070927,997.5
20070928,997.5
20070929,997.5
20071001,1102.5
20071002,1260
20071003,1312.5
20071004,1417.5
20071005,1417.5
20071006,1365
20071009,1417.5
20071010,1050
20071011,945
20071012,945
20071013,945
20071015,892.5
20071016,945
20071018,1050
20071019,1102.5
20071020,1050
20071022,997.5
20071023,945
20071025,840
20071026,787.5
20071027,1155
20071029,840
20071030,735
20071031,787.5
20071101,840
20071102,840
20071105,1050
20071106,1050
20071107,787.5
20071108,787.5
20071109,945
20071110,682.5
