date,amount
20060105,516589
20060106,137421
20060107,208917
20060110,237606
20060111,172725
20060112,144229
20060113,156999
20060114,196836
20060116,167826
20060117,146204
20060119,199664
20060120,154620
20060121,200587
20060123,129820
20060124,145088
20060126,195879
20060127,185508
20060128,181379
20060130,184255
20060131,129844
20060201,131562
20060202,134781
20060203,85039
20060204,129504
20060206,206311
20060207,170336
20060208,198385
20060209,167914
20060210,231648
20060213,267760
20060214,186188
20060216,222587
20060217,182401
20060218,140190
20060220,168502
20060221,201738
20060223,179764
20060224,168538
20060225,194303
20060227,190778
20060228,107752
20060301,144711
20060302,206988
20060303,100904
20060304,165282
20060306,200536
20060307,184562
20060309,178981
20060310,149790
20060311,152094
20060313,137686
20060314,169396
20060316,200157
20060317,138487
20060318,168338
20060320,209777
20060322,188054
20060323,145106
20060324,157229
20060325,96231
20060327,176784
20060328,157111
20060329,108342
20060330,142169
20060331,101912
20060401,156167
20060403,166826
20060404,118798
20060405,130098
20060406,134384
20060407,86299
20060408,159023
20060410,173616
20060411,171520
20060413,200569
20060414,115773
20060415,234223
20060417,219402
20060418,177356
20060420,197444
20060421,176932
20060422,162437
20060424,177360
20060425,152209
20060426,133210
20060427,150428
20060428,162092
20060501,186372
20060502,190537
20060505,224579
20060506,182324
20060508,165939
20060509,174582
20060511,180032
20060512,163817
20060513,171832
20060515,150199
20060516,153600
20060517,139551
20060518,136435
20060519,125717
20060520,140873
20060522,147268
20060523,148871
20060525,165180
20060526,132667
20060527,154111
20060529,145397
20060530,115796
20060531,142343
20060601,164648
20060602,145859
20060603,134113
20060605,158033
20060606,155342
20060607,111465
20060608,129656
20060609,116027
20060610,95230
20060612,120576
20060613,123409
20060615,192062
20060616,123437
20060617,98825
20060619,125125
20060620,97788
20060621,95876
20060622,108195
20060623,123041
20060624,138350
20060626,136577
20060627,140283
20060629,184998
20060630,134322
20060701,140285
20060703,158230
20060704,135181
20060706,159180
20060707,108142
20060708,134031
20060710,133284
20060711,116371
20060712,109525
20060713,105085
20060714,131089
20060715,137917
20060718,181276
20060719,109539
20060720,104647
20060721,104624
20060722,119645
20060724,136317
20060725,157726
20060727,146872
20060728,117199
20060729,161819
20060731,140144
20060801,111901
20060802,98702
20060803,113601
20060804,137662
20060805,125880
20060807,138403
20060808,90626
20060809,116890
20060810,110106
20060811,126491
20060812,128038
20060813,100797
20060817,218880
20060818,121202
20060819,149523
20060821,151269
20060822,157575
20060824,185276
20060825,180880
20060826,212543
20060828,118908
20060829,113838
20060830,111492
20060831,125615
20060901,146443
20060902,148834
20060904,137571
20060905,131818
20060906,134014
20060907,140736
20060908,151156
20060909,214364
20060911,184696
20060912,174289
20060914,200104
20060915,191895
20060916,192056
20060919,217544
20060920,152378
20060921,145918
20060922,209526
20060925,242030
20060926,158433
20060928,225789
20060929,171341
20060930,207476
20061002,209169
20061003,152108
20061004,152817
20061005,188703
20061006,199740
20061007,191895
20061010,194243
20061011,123632
20061012,127312
20061013,150728
20061014,205985
20061016,185056
20061017,154049
20061019,198432
20061020,148723
20061021,168027
20061023,192672
20061024,186613
20061026,152952
20061027,217784
20061028,223246
20061030,152155
20061031,161823
20061101,206484
20061102,237386
20061104,240441
20061106,221660
20061107,228272
20061109,250855
20061110,234983
20061111,243181
20061113,192718
20061114,172815
20061115,200200
20061116,194026
20061117,164699
20061118,218092
20061120,194364
20061121,138992
20061122,134077
20061124,242000
20061125,206888
20061127,185370
20061128,187625
20061129,98933
20061130,102803
20061201,172626
20061202,168145
20061204,208110
20061205,182753
20061206,146876
20061207,167883
20061208,169030
20061209,156100
20061211,121207
20061212,166228
20061214,215706
20061215,157832
20061216,187355
20061218,202531
20061219,160358
20061220,140050
20061221,157152
20061222,222466
20061224,186263
20061225,286791
20061226,289280
20061227,297727
20061228,220003
20061229,120070
20070105,352647
20070106,233621
20070109,269003
20070110,205341
20070111,219384
20070112,234598
20070113,257355
20070115,196451
20070116,240831
20070118,253809
20070119,175413
20070120,222554
20070122,205172
20070123,183376
20070125,199578
20070126,184160
20070127,239132
20070129,228955
20070130,195742
20070131,193752
20070201,224889
20070202,220339
20070203,260473
20070205,258238
20070206,197078
20070207,190205
20070208,180960
20070209,243226
20070210,241314
20070213,242056
20070214,166688
20070215,192176
20070216,122164
20070217,195029
20070219,268102
20070220,111247
20070222,234563
20070223,194082
20070224,212988
20070226,166627
20070227,243107
20070301,242741
20070302,176966
20070303,197282
20070305,219298
20070306,210624
20070307,211275
20070308,201859
20070309,204719
20070310,200179
20070312,203709
20070313,119568
20070315,226174
20070316,167008
20070317,194065
20070319,173698
20070320,136417
20070322,134153
20070323,96423
20070324,116700
20070326,130467
20070327,90000
20070329,188905
20070330,110410
20070331,158732
20070402,173850
20070403,122352
20070404,94601
20070405,85749
20070406,156002
20070407,148491
20070409,147862
20070410,147134
20070412,169236
20070413,141162
20070414,150105
20070416,117756
20070417,129160
20070418,109217
20070419,129997
20070420,132338
20070421,154019
20070423,139168
20070424,147544
20070426,152172
20070427,143633
20070428,197937
20070501,195663
20070502,139372
20070504,175590
20070507,192132
20070508,119893
20070510,169668
20070511,149497
20070512,164787
20070514,150622
20070515,153803
20070516,109092
20070517,103285
20070518,88734
20070519,101209
20070521,154166
20070522,165995
20070524,154181
20070525,141801
20070526,142392
20070528,126984
20070529,128354
20070530,117028
20070531,108799
20070601,83227
20070602,121046
20070604,142463
20070605,123203
20070606,113571
20070607,117520
20070608,107062
20070609,113616
20070611,136657
20070612,131313
20070614,135202
20070615,127200
20070616,115035
20070618,123002
20070619,100253
20070620,93059
20070621,96442
20070622,92599
20070623,113991
20070625,154613
20070626,146847
20070628,171840
20070629,151328
20070630,134826
20070702,155505
20070703,101606
20070704,95699
20070705,128684
20070706,119438
20070707,122469
20070709,138653
20070710,127758
20070712,174704
20070713,125429
20070714,130154
20070717,205913
20070718,136262
20070719,121887
20070720,115481
20070721,145237
20070723,155994
20070724,141755
20070726,190089
20070727,173122
20070728,187144
20070730,157827
20070731,107876
20070801,132107
20070802,122000
20070803,133479
20070804,160575
20070806,173141
20070807,137090
20070808,95188
20070809,124289
20070810,120028
20070811,180861
20070813,126002
20070814,123162
20070818,202696
20070820,118281
20070821,124543
20070823,159655
20070824,114926
20070825,165431
20070827,164217
20070828,124492
20070829,107885
20070830,126509
20070831,137533
20070901,151581
20070903,144042
20070904,135561
20070905,134496
20070906,159582
20070907,111908
20070908,152400
20070910,196487
20070911,160616
20070913,191310
20070914,162599
20070915,212759
20070918,208101
20070919,112434
20070920,149232
20070921,154047
20070922,184962
20070925,219200
20070926,144043
20070927,145960
20070928,155883
20070929,180310
20071001,190452
20071002,103684
20071003,130828
20071004,157538
20071005,151759
20071006,227217
20071009,260870
20071010,132692
20071011,152405
20071012,131851
20071013,158422
20071015,194150
20071016,177667
20071018,165249
20071019,188104
20071020,193169
20071022,184247
20071023,188545
20071025,208575
20071026,176315
20071027,205978
20071029,164497
20071030,174574
20071031,191418
20071101,167124
20071102,257847
20071105,272844
20071106,208702
20071107,179248
20071108,174852
20071109,200195
20071110,231733
20071112,137492
20071113,173891
20071115,244867
20071116,243215
20071117,262869
20071119,222021
20071120,201763
20071121,216694
20071122,248148
20071124,247183
20071126,244803
20071127,213787
20071129,222867
20071130,186441
20071201,186260
20071203,217410
20071204,169848
20071205,139121
20071206,173415
20071207,152359
20071208,163956
20071210,182215
20071211,229004
20071213,189140
20071214,171698
20071215,104573
20071217,191826
20071218,177905
20071219,136038
20071220,180861
20071221,220974
20071222,205718
20071224,179289
20071225,257953
20071226,203423
20071227,269510
20071228,325182
20071229,113335
20080105,368763
20080107,234195
20080108,205079
20080110,226492
20080111,211550
20080112,202284
20080115,193819
20080116,140754
20080117,183378
20080118,179457
20080119,165873
20080121,207512
20080122,201187
20080124,209849
